,run,Pos. snake,Pos. apple,Decision,left,right,front,applex,appley,snakex,snakey,score
151,12,"[(5, 7)]","(8, 9)",left,6,0.0,6.0,1.0,-1.0,0.0,1.0,0.0
152,12,"[(5, 8)]","(8, 9)",right,4,5.0,5.0,1.0,-1.0,-1.0,0.0,0.0
153,12,"[(4, 8)]","(8, 9)",left,5,2.0,5.0,1.0,-1.0,0.0,1.0,0.0
154,12,"[(4, 7)]","(8, 9)",left,5,4.0,4.0,1.0,-1.0,-1.0,0.0,0.0
155,12,"[(4, 6)]","(8, 9)",,2,4.0,5.0,1.0,-1.0,0.0,-1.0,0.0
156,12,"[(4, 5)]","(8, 9)",,1,4.0,5.0,1.0,-1.0,0.0,-1.0,0.0
157,12,"[(4, 4)]","(8, 9)",,0,4.0,5.0,1.0,-1.0,0.0,-1.0,0.0
158,12,"[(3, 4)]","(8, 9)",right,5,4.0,5.0,1.0,-1.0,0.0,-1.0,0.0
159,12,"[(3, 5)]","(8, 9)",right,6,3.0,3.0,1.0,-1.0,-1.0,0.0,0.0
160,12,"[(3, 6)]","(8, 9)",,3,1.0,3.0,1.0,-1.0,0.0,1.0,0.0
161,12,"[(2, 6)]","(8, 9)",left,3,2.0,3.0,1.0,-1.0,0.0,1.0,0.0
162,12,"[(1, 6)]","(8, 9)",,7,2.0,2.0,1.0,-1.0,-1.0,0.0,0.0
163,12,"[(1, 5)]","(8, 9)",left,8,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0
164,12,"[(1, 4)]","(8, 9)",,3,1.0,8.0,1.0,-1.0,0.0,-1.0,0.0
165,12,"[(2, 4)]","(8, 9)",left,2,1.0,8.0,1.0,-1.0,0.0,-1.0,0.0
166,12,"[(2, 5)]","(8, 9)",left,2,7.0,1.0,1.0,-1.0,1.0,0.0,0.0
167,12,"[(2, 6)]","(8, 9)",,2,2.0,2.0,1.0,-1.0,0.0,1.0,0.0
168,12,"[(3, 6)]","(8, 9)",right,2,3.0,2.0,1.0,-1.0,0.0,1.0,0.0
169,12,"[(3, 5)]","(8, 9)",right,3,6.0,2.0,1.0,-1.0,1.0,0.0,0.0
170,12,"[(4, 5)]","(8, 9)",left,1,3.0,6.0,1.0,-1.0,0.0,-1.0,0.0
171,12,"[(4, 4)]","(8, 9)",right,4,5.0,0.0,1.0,-1.0,1.0,0.0,0.0
172,12,"[(4, 3)]","(8, 9)",,5,4.0,5.0,1.0,-1.0,0.0,-1.0,0.0
173,12,"[(4, 2)]","(8, 9)",,5,3.0,5.0,1.0,-1.0,0.0,-1.0,0.0
174,12,"[(4, 1)]","(8, 9)",,5,2.0,5.0,1.0,-1.0,0.0,-1.0,0.0
175,12,"[(5, 1)]","(8, 9)",left,5,1.0,5.0,1.0,-1.0,0.0,-1.0,0.0
176,12,"[(5, 0)]","(8, 9)",right,5,4.0,4.0,1.0,-1.0,1.0,0.0,0.0
177,12,"[(6, 0)]","(8, 9)",left,4,0.0,4.0,1.0,-1.0,0.0,-1.0,0.0
178,12,"[(6, 1)]","(8, 9)",left,6,3.0,3.0,1.0,-1.0,1.0,0.0,0.0
179,12,"[(5, 1)]","(8, 9)",left,1,3.0,6.0,1.0,-1.0,0.0,1.0,0.0
180,12,"[(5, 2)]","(8, 9)",right,4,5.0,1.0,1.0,-1.0,-1.0,0.0,0.0
181,12,"[(4, 2)]","(8, 9)",left,2,4.0,5.0,1.0,-1.0,0.0,1.0,0.0
182,12,"[(4, 1)]","(8, 9)",left,5,4.0,2.0,1.0,-1.0,-1.0,0.0,0.0
183,12,"[(4, 0)]","(8, 9)",,5,1.0,5.0,1.0,-1.0,0.0,-1.0,0.0
184,12,"[(4, -1)]","(8, 9)",,5,0.0,5.0,1.0,-1.0,0.0,-1.0,0.0
185,death,death,death,death,death,,,,,,,
186,13,"[(5, 2)]","(6, 5)",left,5,2.0,5.0,1.0,-1.0,0.0,-1.0,0.0
187,13,"[(5, 3)]","(6, 5)",left,5,4.0,4.0,1.0,-1.0,1.0,0.0,0.0
188,13,"[(5, 4)]","(6, 5)",,3,4.0,5.0,1.0,-1.0,0.0,1.0,0.0
189,13,"[(5, 5)]","(6, 5)",,4,4.0,5.0,1.0,-1.0,0.0,1.0,0.0
190,13,"[(6, 5)]","(7, 6)",right,5,4.0,5.0,1.0,0.0,0.0,1.0,1.0
191,13,"[(6, 4), (6, 5)]","(7, 6)",right,6,3.0,3.0,1.0,-1.0,1.0,0.0,1.0
192,13,"[(5, 4), (6, 4)]","(7, 6)",right,3,5.0,3.0,1.0,-1.0,0.0,-1.0,1.0
193,13,"[(4, 4), (5, 4)]","(7, 6)",,4,5.0,4.0,1.0,-1.0,-1.0,0.0,1.0
194,13,"[(4, 3), (4, 4)]","(7, 6)",left,5,4.0,4.0,1.0,-1.0,-1.0,0.0,1.0
195,13,"[(3, 3), (4, 3)]","(7, 6)",right,5,3.0,5.0,1.0,-1.0,0.0,-1.0,1.0
196,13,"[(2, 3), (3, 3)]","(7, 6)",,6,3.0,3.0,1.0,-1.0,-1.0,0.0,1.0
197,13,"[(1, 3), (2, 3)]","(7, 6)",,0,2.0,2.0,1.0,-1.0,-1.0,0.0,1.0
198,13,"[(1, 2), (1, 3)]","(7, 6)",left,8,1.0,1.0,1.0,-1.0,-1.0,0.0,1.0
199,13,"[(1, 1), (1, 2)]","(7, 6)",,1,1.0,8.0,1.0,-1.0,0.0,-1.0,1.0
200,13,"[(1, 0), (1, 1)]","(7, 6)",,0,1.0,0.0,1.0,-1.0,0.0,-1.0,1.0
201,13,"[(0, 0), (1, 0)]","(7, 6)",right,8,0.0,8.0,1.0,-1.0,0.0,-1.0,1.0
202,13,"[(0, -1), (0, 0)]","(7, 6)",left,9,0.0,0.0,1.0,-1.0,-1.0,0.0,1.0
203,death,death,death,death,death,,,,,,,
204,14,"[(5, 9)]","(5, 0)",left,4,4.0,5.0,1.0,1.0,0.0,-1.0,0.0
205,14,"[(5, 8)]","(5, 0)",right,5,4.0,3.0,0.0,1.0,1.0,0.0,0.0
206,14,"[(5, 7)]","(5, 0)",,2,5.0,4.0,0.0,1.0,0.0,-1.0,0.0
207,14,"[(4, 7)]","(5, 0)",right,1,5.0,4.0,0.0,1.0,0.0,-1.0,0.0
208,14,"[(3, 7)]","(5, 0)",,5,4.0,4.0,1.0,1.0,-1.0,0.0,0.0
209,14,"[(2, 7)]","(5, 0)",,6,3.0,3.0,1.0,1.0,-1.0,0.0,0.0
210,14,"[(2, 6)]","(5, 0)",left,7,2.0,2.0,1.0,1.0,-1.0,0.0,0.0
211,14,"[(1, 6)]","(5, 0)",right,3,2.0,7.0,1.0,1.0,0.0,-1.0,0.0
212,14,"[(1, 5)]","(5, 0)",left,8,1.0,1.0,1.0,1.0,-1.0,0.0,0.0
213,14,"[(2, 5)]","(5, 0)",left,3,1.0,8.0,1.0,1.0,0.0,-1.0,0.0
214,14,"[(2, 6)]","(5, 0)",left,2,7.0,2.0,1.0,1.0,1.0,0.0,0.0
215,14,"[(2, 7)]","(5, 0)",,2,3.0,2.0,1.0,1.0,0.0,1.0,0.0
216,14,"[(1, 7)]","(5, 0)",left,2,4.0,2.0,1.0,1.0,0.0,1.0,0.0
217,14,"[(0, 7)]","(5, 0)",,8,1.0,1.0,1.0,1.0,-1.0,0.0,0.0
218,14,"[(0, 6)]","(5, 0)",left,9,0.0,0.0,1.0,1.0,-1.0,0.0,0.0
219,14,"[(-1, 6)]","(5, 0)",right,5,0.0,9.0,1.0,1.0,0.0,-1.0,0.0
220,death,death,death,death,death,,,,,,,
221,15,"[(9, 3)]","(8, 1)",right,0,9.0,2.0,-1.0,1.0,-1.0,0.0,0.0
222,15,"[(10, 3)]","(8, 1)",right,3,0.0,9.0,-1.0,1.0,0.0,1.0,0.0
223,death,death,death,death,death,,,,,,,
224,16,"[(3, 6)]","(1, 9)",left,3,6.0,1.0,-1.0,-1.0,1.0,0.0,0.0
225,16,"[(2, 6)]","(1, 9)",left,3,2.0,3.0,-1.0,-1.0,0.0,1.0,0.0
226,16,"[(1, 6)]","(1, 9)",,7,2.0,2.0,-1.0,-1.0,-1.0,0.0,0.0
227,16,"[(1, 7)]","(1, 9)",right,8,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0
228,16,"[(1, 8)]","(1, 9)",,1,5.0,1.0,0.0,-1.0,0.0,1.0,0.0
229,16,"[(0, 8)]","(1, 9)",left,1,6.0,1.0,0.0,-1.0,0.0,1.0,0.0
230,16,"[(-1, 8)]","(1, 9)",,9,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0
231,death,death,death,death,death,,,,,,,
232,17,"[(7, 6)]","(9, 1)",left,2,7.0,7.0,1.0,1.0,-1.0,0.0,0.0
233,17,"[(7, 5)]","(9, 1)",,2,6.0,2.0,1.0,1.0,0.0,-1.0,0.0
234,17,"[(6, 5)]","(9, 1)",right,2,5.0,2.0,1.0,1.0,0.0,-1.0,0.0
235,17,"[(5, 5)]","(9, 1)",,3,6.0,5.0,1.0,1.0,-1.0,0.0,0.0
236,17,"[(4, 5)]","(9, 1)",,4,5.0,5.0,1.0,1.0,-1.0,0.0,0.0
237,17,"[(3, 5)]","(9, 1)",,5,4.0,4.0,1.0,1.0,-1.0,0.0,0.0
238,17,"[(3, 6)]","(9, 1)",right,6,3.0,3.0,1.0,1.0,-1.0,0.0,0.0
239,17,"[(2, 6)]","(9, 1)",left,3,2.0,3.0,1.0,1.0,0.0,1.0,0.0
240,17,"[(2, 5)]","(9, 1)",left,7,2.0,2.0,1.0,1.0,-1.0,0.0,0.0
241,17,"[(3, 5)]","(9, 1)",left,2,2.0,7.0,1.0,1.0,0.0,-1.0,0.0
242,17,"[(3, 4)]","(9, 1)",right,3,6.0,1.0,1.0,1.0,1.0,0.0,0.0
